cv_id,text,skills,level,profile_type,domain,text_canonical
CV_0012,"CV Profile: intermediate candidate in design. Experience with relevant tools and projects. Skills:
- figma
- wireframing
- ux research
- design systems
- ui design
- typography
- adobe illustrator
- adobe photoshop
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","figma, wireframing, ux research, design systems, ui design, typography, adobe illustrator, adobe photoshop, presentation",intermediate,specialized,design,"cv profile intermediate candidate in design. experience with relevant tools and projects. skills - figma - wireframing - ux research - design systems - ui design - typography - adobe illustrator - adobe photoshop education bachelor s master s related to design. soft skills communication, teamwork. figma, wireframing, ux research, design systems, ui design, typography, adobe illustrator, adobe photoshop, presentation"
CV_0013,"CV Profile: intermediate candidate in marketing. Experience with relevant tools and projects. Skills:
- branding
- email marketing
- social media
- content marketing
- seo
- crm
- copywriting
- google analytics
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","branding, email marketing, social media, content marketing, seo, crm, copywriting, google analytics, english, presentation",intermediate,specialized,marketing,"cv profile intermediate candidate in marketing. experience with relevant tools and projects. skills - branding - email marketing - social media - content marketing - seo - crm - copywriting - google analytics education bachelor s master s related to marketing. soft skills communication, teamwork. branding, email marketing, social media, content marketing, seo, crm, copywriting, google analytics, english, presentation"
CV_0014,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- power bi
- statistics
- numpy
- business intelligence
- python
- pandas
- data visualization
- machine learning
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","power bi, statistics, numpy, business intelligence, python, pandas, data visualization, machine learning, risk analysis, etl, english, teamwork, communication",intermediate,polyvalent,management,"cv profile intermediate candidate in management. experience with relevant tools and projects. skills - power bi - statistics - numpy - business intelligence - python - pandas - data visualization - machine learning education bachelor s master s related to management. soft skills communication, teamwork. power bi, statistics, numpy, business intelligence, python, pandas, data visualization, machine learning, risk analysis, etl, english, teamwork, communication"
CV_0015,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- ux research
- figma
- adobe illustrator
- tableau
- power bi
- machine learning
- python
- wireframing
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","ux research, figma, adobe illustrator, tableau, power bi, machine learning, python, wireframing, adobe photoshop, data visualization, english, communication",intermediate,polyvalent,finance,"cv profile intermediate candidate in finance. experience with relevant tools and projects. skills - ux research - figma - adobe illustrator - tableau - power bi - machine learning - python - wireframing education bachelor s master s related to finance. soft skills communication, teamwork. ux research, figma, adobe illustrator, tableau, power bi, machine learning, python, wireframing, adobe photoshop, data visualization, english, communication"
CV_0016,"CV Profile: junior candidate in software. Experience with relevant tools and projects. Skills:
- forecasting
- project management
- network security
- risk assessment
- scrum
- risk analysis
- budgeting
- incident response
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","forecasting, project management, network security, risk assessment, scrum, risk analysis, budgeting, incident response, reporting, presentation",junior,polyvalent,software,"cv profile junior candidate in software. experience with relevant tools and projects. skills - forecasting - project management - network security - risk assessment - scrum - risk analysis - budgeting - incident response education bachelor s master s related to software. soft skills communication, teamwork. forecasting, project management, network security, risk assessment, scrum, risk analysis, budgeting, incident response, reporting, presentation"
CV_0017,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- tableau
- etl
- machine learning
- python
- pandas
- data visualization
- sql
- numpy
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","tableau, etl, machine learning, python, pandas, data visualization, sql, numpy, presentation",intermediate,specialized,data,"cv profile intermediate candidate in data. experience with relevant tools and projects. skills - tableau - etl - machine learning - python - pandas - data visualization - sql - numpy education bachelor s master s related to data. soft skills communication, teamwork. tableau, etl, machine learning, python, pandas, data visualization, sql, numpy, presentation"
CV_0018,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- stakeholder management
- communication
- budgeting
- project management
- planning
- agile
- problem solving
- teamwork
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","stakeholder management, communication, budgeting, project management, planning, agile, problem solving, teamwork",junior,specialized,management,"cv profile junior candidate in management. experience with relevant tools and projects. skills - stakeholder management - communication - budgeting - project management - planning - agile - problem solving - teamwork education bachelor s master s related to management. soft skills communication, teamwork. stakeholder management, communication, budgeting, project management, planning, agile, problem solving, teamwork"
CV_0019,"CV Profile: intermediate candidate in design. Experience with relevant tools and projects. Skills:
- wireframing
- ui design
- adobe illustrator
- ux research
- typography
- design systems
- figma
- adobe photoshop
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","wireframing, ui design, adobe illustrator, ux research, typography, design systems, figma, adobe photoshop, reporting, presentation",intermediate,specialized,design,"cv profile intermediate candidate in design. experience with relevant tools and projects. skills - wireframing - ui design - adobe illustrator - ux research - typography - design systems - figma - adobe photoshop education bachelor s master s related to design. soft skills communication, teamwork. wireframing, ui design, adobe illustrator, ux research, typography, design systems, figma, adobe photoshop, reporting, presentation"
CV_0020,"CV Profile: junior candidate in data. Experience with relevant tools and projects. Skills:
- pandas
- machine learning
- numpy
- python
- sql
- power bi
- teamwork
- english
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","pandas, machine learning, numpy, python, sql, power bi, teamwork, english",junior,specialized,data,"cv profile junior candidate in data. experience with relevant tools and projects. skills - pandas - machine learning - numpy - python - sql - power bi - teamwork - english education bachelor s master s related to data. soft skills communication, teamwork. pandas, machine learning, numpy, python, sql, power bi, teamwork, english"
CV_0021,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- project management
- planning
- communication
- scrum
- leadership
- stakeholder management
- agile
- budgeting
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","project management, planning, communication, scrum, leadership, stakeholder management, agile, budgeting, presentation",intermediate,specialized,management,"cv profile intermediate candidate in management. experience with relevant tools and projects. skills - project management - planning - communication - scrum - leadership - stakeholder management - agile - budgeting education bachelor s master s related to management. soft skills communication, teamwork. project management, planning, communication, scrum, leadership, stakeholder management, agile, budgeting, presentation"
CV_0022,"CV Profile: junior candidate in marketing. Experience with relevant tools and projects. Skills:
- social media
- crm
- google analytics
- content marketing
- email marketing
- branding
- problem solving
- communication
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","social media, crm, google analytics, content marketing, email marketing, branding, problem solving, communication",junior,specialized,marketing,"cv profile junior candidate in marketing. experience with relevant tools and projects. skills - social media - crm - google analytics - content marketing - email marketing - branding - problem solving - communication education bachelor s master s related to marketing. soft skills communication, teamwork. social media, crm, google analytics, content marketing, email marketing, branding, problem solving, communication"
CV_0023,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- linux
- pandas
- incident response
- sql
- data visualization
- risk assessment
- numpy
- cryptography
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","linux, pandas, incident response, sql, data visualization, risk assessment, numpy, cryptography, tableau, firewalls, communication, teamwork",intermediate,polyvalent,data,"cv profile intermediate candidate in data. experience with relevant tools and projects. skills - linux - pandas - incident response - sql - data visualization - risk assessment - numpy - cryptography education bachelor s master s related to data. soft skills communication, teamwork. linux, pandas, incident response, sql, data visualization, risk assessment, numpy, cryptography, tableau, firewalls, communication, teamwork"
CV_0024,"CV Profile: junior candidate in marketing. Experience with relevant tools and projects. Skills:
- google analytics
- social media
- content marketing
- seo
- branding
- crm
- problem solving
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","google analytics, social media, content marketing, seo, branding, crm, problem solving",junior,specialized,marketing,"cv profile junior candidate in marketing. experience with relevant tools and projects. skills - google analytics - social media - content marketing - seo - branding - crm - problem solving education bachelor s master s related to marketing. soft skills communication, teamwork. google analytics, social media, content marketing, seo, branding, crm, problem solving"
CV_0025,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- crm
- google analytics
- content marketing
- social media
- business intelligence
- powerpoint
- excel
- financial modeling
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","crm, google analytics, content marketing, social media, business intelligence, powerpoint, excel, financial modeling, seo, branding, presentation, teamwork, problem solving",intermediate,polyvalent,software,"cv profile intermediate candidate in software. experience with relevant tools and projects. skills - crm - google analytics - content marketing - social media - business intelligence - powerpoint - excel - financial modeling education bachelor s master s related to software. soft skills communication, teamwork. crm, google analytics, content marketing, social media, business intelligence, powerpoint, excel, financial modeling, seo, branding, presentation, teamwork, problem solving"
CV_0026,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- python
- linux
- git
- java
- testing
- javascript
- docker
- cloud
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","python, linux, git, java, testing, javascript, docker, cloud, communication",intermediate,specialized,software,"cv profile intermediate candidate in software. experience with relevant tools and projects. skills - python - linux - git - java - testing - javascript - docker - cloud education bachelor s master s related to software. soft skills communication, teamwork. python, linux, git, java, testing, javascript, docker, cloud, communication"
CV_0027,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- ui design
- wireframing
- ux research
- adobe illustrator
- typography
- adobe photoshop
- communication
- presentation
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","ui design, wireframing, ux research, adobe illustrator, typography, adobe photoshop, communication, presentation",junior,specialized,design,"cv profile junior candidate in design. experience with relevant tools and projects. skills - ui design - wireframing - ux research - adobe illustrator - typography - adobe photoshop - communication - presentation education bachelor s master s related to design. soft skills communication, teamwork. ui design, wireframing, ux research, adobe illustrator, typography, adobe photoshop, communication, presentation"
CV_0028,"CV Profile: junior candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- leadership
- budgeting
- tableau
- numpy
- social media
- crm
- communication
- etl
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","leadership, budgeting, tableau, numpy, social media, crm, communication, etl, reporting, teamwork, problem solving",junior,polyvalent,cybersecurity,"cv profile junior candidate in cybersecurity. experience with relevant tools and projects. skills - leadership - budgeting - tableau - numpy - social media - crm - communication - etl education bachelor s master s related to cybersecurity. soft skills communication, teamwork. leadership, budgeting, tableau, numpy, social media, crm, communication, etl, reporting, teamwork, problem solving"
CV_0029,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- power bi
- statistics
- numpy
- tableau
- python
- machine learning
- pandas
- data visualization
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","power bi, statistics, numpy, tableau, python, machine learning, pandas, data visualization, presentation",intermediate,specialized,data,"cv profile intermediate candidate in data. experience with relevant tools and projects. skills - power bi - statistics - numpy - tableau - python - machine learning - pandas - data visualization education bachelor s master s related to data. soft skills communication, teamwork. power bi, statistics, numpy, tableau, python, machine learning, pandas, data visualization, presentation"
CV_0030,"CV Profile: intermediate candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- network security
- typography
- adobe photoshop
- ui design
- powerpoint
- wireframing
- siem
- business intelligence
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","network security, typography, adobe photoshop, ui design, powerpoint, wireframing, siem, business intelligence, design systems, ux research, teamwork, english, problem solving",intermediate,polyvalent,cybersecurity,"cv profile intermediate candidate in cybersecurity. experience with relevant tools and projects. skills - network security - typography - adobe photoshop - ui design - powerpoint - wireframing - siem - business intelligence education bachelor s master s related to cybersecurity. soft skills communication, teamwork. network security, typography, adobe photoshop, ui design, powerpoint, wireframing, siem, business intelligence, design systems, ux research, teamwork, english, problem solving"
CV_0031,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- javascript
- planning
- agile
- rest api
- project management
- communication
- python
- testing
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","javascript, planning, agile, rest api, project management, communication, python, testing, teamwork, problem solving",junior,polyvalent,finance,"cv profile junior candidate in finance. experience with relevant tools and projects. skills - javascript - planning - agile - rest api - project management - communication - python - testing education bachelor s master s related to finance. soft skills communication, teamwork. javascript, planning, agile, rest api, project management, communication, python, testing, teamwork, problem solving"
CV_0032,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- python
- git
- linux
- docker
- cloud
- testing
- microservices
- javascript
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","python, git, linux, docker, cloud, testing, microservices, javascript, presentation",intermediate,specialized,software,"cv profile intermediate candidate in software. experience with relevant tools and projects. skills - python - git - linux - docker - cloud - testing - microservices - javascript education bachelor s master s related to software. soft skills communication, teamwork. python, git, linux, docker, cloud, testing, microservices, javascript, presentation"
CV_0033,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- ux research
- adobe illustrator
- wireframing
- figma
- adobe photoshop
- ui design
- teamwork
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","ux research, adobe illustrator, wireframing, figma, adobe photoshop, ui design, teamwork",junior,specialized,design,"cv profile junior candidate in design. experience with relevant tools and projects. skills - ux research - adobe illustrator - wireframing - figma - adobe photoshop - ui design - teamwork education bachelor s master s related to design. soft skills communication, teamwork. ux research, adobe illustrator, wireframing, figma, adobe photoshop, ui design, teamwork"
CV_0034,"CV Profile: senior candidate in management. Experience with relevant tools and projects. Skills:
- project management
- communication
- agile
- leadership
- stakeholder management
- budgeting
- planning
- scrum
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","project management, communication, agile, leadership, stakeholder management, budgeting, planning, scrum, reporting, presentation",senior,specialized,management,"cv profile senior candidate in management. experience with relevant tools and projects. skills - project management - communication - agile - leadership - stakeholder management - budgeting - planning - scrum education bachelor s master s related to management. soft skills communication, teamwork. project management, communication, agile, leadership, stakeholder management, budgeting, planning, scrum, reporting, presentation"
CV_0035,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- accounting
- powerpoint
- risk analysis
- sql
- business intelligence
- excel
- financial modeling
- forecasting
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","accounting, powerpoint, risk analysis, sql, business intelligence, excel, financial modeling, forecasting, problem solving",intermediate,specialized,finance,"cv profile intermediate candidate in finance. experience with relevant tools and projects. skills - accounting - powerpoint - risk analysis - sql - business intelligence - excel - financial modeling - forecasting education bachelor s master s related to finance. soft skills communication, teamwork. accounting, powerpoint, risk analysis, sql, business intelligence, excel, financial modeling, forecasting, problem solving"
CV_0036,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- forecasting
- accounting
- sql
- business intelligence
- excel
- risk analysis
- teamwork
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","forecasting, accounting, sql, business intelligence, excel, risk analysis, teamwork",junior,specialized,finance,"cv profile junior candidate in finance. experience with relevant tools and projects. skills - forecasting - accounting - sql - business intelligence - excel - risk analysis - teamwork education bachelor s master s related to finance. soft skills communication, teamwork. forecasting, accounting, sql, business intelligence, excel, risk analysis, teamwork"
CV_0037,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- business intelligence
- stakeholder management
- planning
- agile
- budgeting
- excel
- scrum
- leadership
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","business intelligence, stakeholder management, planning, agile, budgeting, excel, scrum, leadership, accounting, project management, english, communication, problem solving",intermediate,polyvalent,finance,"cv profile intermediate candidate in finance. experience with relevant tools and projects. skills - business intelligence - stakeholder management - planning - agile - budgeting - excel - scrum - leadership education bachelor s master s related to finance. soft skills communication, teamwork. business intelligence, stakeholder management, planning, agile, budgeting, excel, scrum, leadership, accounting, project management, english, communication, problem solving"
CV_0038,"CV Profile: intermediate candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- communication
- adobe photoshop
- leadership
- project management
- agile
- budgeting
- ux research
- design systems
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","communication, adobe photoshop, leadership, project management, agile, budgeting, ux research, design systems, adobe illustrator, google analytics, presentation, teamwork, english",intermediate,polyvalent,cybersecurity,"cv profile intermediate candidate in cybersecurity. experience with relevant tools and projects. skills - communication - adobe photoshop - leadership - project management - agile - budgeting - ux research - design systems education bachelor s master s related to cybersecurity. soft skills communication, teamwork. communication, adobe photoshop, leadership, project management, agile, budgeting, ux research, design systems, adobe illustrator, google analytics, presentation, teamwork, english"
CV_0039,"CV Profile: senior candidate in software. Experience with relevant tools and projects. Skills:
- microservices
- python
- java
- rest api
- git
- linux
- cloud
- testing
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","microservices, python, java, rest api, git, linux, cloud, testing, javascript, docker, problem solving, teamwork",senior,specialized,software,"cv profile senior candidate in software. experience with relevant tools and projects. skills - microservices - python - java - rest api - git - linux - cloud - testing education bachelor s master s related to software. soft skills communication, teamwork. microservices, python, java, rest api, git, linux, cloud, testing, javascript, docker, problem solving, teamwork"
CV_0040,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- cryptography
- risk assessment
- firewalls
- network security
- excel
- leadership
- accounting
- financial modeling
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","cryptography, risk assessment, firewalls, network security, excel, leadership, accounting, financial modeling, communication, teamwork",junior,polyvalent,finance,"cv profile junior candidate in finance. experience with relevant tools and projects. skills - cryptography - risk assessment - firewalls - network security - excel - leadership - accounting - financial modeling education bachelor s master s related to finance. soft skills communication, teamwork. cryptography, risk assessment, firewalls, network security, excel, leadership, accounting, financial modeling, communication, teamwork"
CV_0041,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- git
- javascript
- linux
- rest api
- python
- docker
- java
- cloud
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","git, javascript, linux, rest api, python, docker, java, cloud, problem solving, teamwork",intermediate,specialized,software,"cv profile intermediate candidate in software. experience with relevant tools and projects. skills - git - javascript - linux - rest api - python - docker - java - cloud education bachelor s master s related to software. soft skills communication, teamwork. git, javascript, linux, rest api, python, docker, java, cloud, problem solving, teamwork"
CV_0042,"CV Profile: intermediate candidate in marketing. Experience with relevant tools and projects. Skills:
- stakeholder management
- linux
- budgeting
- communication
- docker
- java
- rest api
- agile
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","stakeholder management, linux, budgeting, communication, docker, java, rest api, agile, testing, project management, reporting, teamwork",intermediate,polyvalent,marketing,"cv profile intermediate candidate in marketing. experience with relevant tools and projects. skills - stakeholder management - linux - budgeting - communication - docker - java - rest api - agile education bachelor s master s related to marketing. soft skills communication, teamwork. stakeholder management, linux, budgeting, communication, docker, java, rest api, agile, testing, project management, reporting, teamwork"
CV_0043,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- tableau
- sql
- python
- machine learning
- pandas
- statistics
- data visualization
- etl
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","tableau, sql, python, machine learning, pandas, statistics, data visualization, etl, communication, english",intermediate,specialized,data,"cv profile intermediate candidate in data. experience with relevant tools and projects. skills - tableau - sql - python - machine learning - pandas - statistics - data visualization - etl education bachelor s master s related to data. soft skills communication, teamwork. tableau, sql, python, machine learning, pandas, statistics, data visualization, etl, communication, english"
CV_0044,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- planning
- leadership
- stakeholder management
- agile
- budgeting
- project management
- reporting
- presentation
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","planning, leadership, stakeholder management, agile, budgeting, project management, reporting, presentation",junior,specialized,management,"cv profile junior candidate in management. experience with relevant tools and projects. skills - planning - leadership - stakeholder management - agile - budgeting - project management - reporting - presentation education bachelor s master s related to management. soft skills communication, teamwork. planning, leadership, stakeholder management, agile, budgeting, project management, reporting, presentation"
CV_0045,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- communication
- scrum
- agile
- project management
- budgeting
- planning
- english
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","communication, scrum, agile, project management, budgeting, planning, english",junior,specialized,management,"cv profile junior candidate in management. experience with relevant tools and projects. skills - communication - scrum - agile - project management - budgeting - planning - english education bachelor s master s related to management. soft skills communication, teamwork. communication, scrum, agile, project management, budgeting, planning, english"
CV_0046,"CV Profile: intermediate candidate in marketing. Experience with relevant tools and projects. Skills:
- seo
- social media
- google analytics
- content marketing
- email marketing
- branding
- copywriting
- crm
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","seo, social media, google analytics, content marketing, email marketing, branding, copywriting, crm, problem solving, reporting",intermediate,specialized,marketing,"cv profile intermediate candidate in marketing. experience with relevant tools and projects. skills - seo - social media - google analytics - content marketing - email marketing - branding - copywriting - crm education bachelor s master s related to marketing. soft skills communication, teamwork. seo, social media, google analytics, content marketing, email marketing, branding, copywriting, crm, problem solving, reporting"
