cv_id,text,skills,level,profile_type,domain
CV_0010,"CV Profile: senior candidate in software. Experience with relevant tools and projects. Skills:
- adobe illustrator
- accounting
- adobe photoshop
- ux research
- financial modeling
- business intelligence
- powerpoint
- forecasting
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","adobe illustrator, accounting, adobe photoshop, ux research, financial modeling, business intelligence, powerpoint, forecasting, ui design, risk analysis, wireframing, sql, teamwork, reporting, presentation",senior,polyvalent,software
CV_0011,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- email marketing
- agile
- project management
- scrum
- budgeting
- excel
- forecasting
- sql
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","email marketing, agile, project management, scrum, budgeting, excel, forecasting, sql, communication, presentation",junior,polyvalent,design
CV_0012,"CV Profile: intermediate candidate in design. Experience with relevant tools and projects. Skills:
- figma
- wireframing
- ux research
- design systems
- ui design
- typography
- adobe illustrator
- adobe photoshop
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","figma, wireframing, ux research, design systems, ui design, typography, adobe illustrator, adobe photoshop, presentation",intermediate,specialized,design
CV_0013,"CV Profile: intermediate candidate in marketing. Experience with relevant tools and projects. Skills:
- branding
- email marketing
- social media
- content marketing
- seo
- crm
- copywriting
- google analytics
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","branding, email marketing, social media, content marketing, seo, crm, copywriting, google analytics, english, presentation",intermediate,specialized,marketing
CV_0014,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- power bi
- statistics
- numpy
- business intelligence
- python
- pandas
- data visualization
- machine learning
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","power bi, statistics, numpy, business intelligence, python, pandas, data visualization, machine learning, risk analysis, etl, english, teamwork, communication",intermediate,polyvalent,management
CV_0015,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- ux research
- figma
- adobe illustrator
- tableau
- power bi
- machine learning
- python
- wireframing
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","ux research, figma, adobe illustrator, tableau, power bi, machine learning, python, wireframing, adobe photoshop, data visualization, english, communication",intermediate,polyvalent,finance
CV_0016,"CV Profile: junior candidate in software. Experience with relevant tools and projects. Skills:
- forecasting
- project management
- network security
- risk assessment
- scrum
- risk analysis
- budgeting
- incident response
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","forecasting, project management, network security, risk assessment, scrum, risk analysis, budgeting, incident response, reporting, presentation",junior,polyvalent,software
CV_0017,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- tableau
- etl
- machine learning
- python
- pandas
- data visualization
- sql
- numpy
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","tableau, etl, machine learning, python, pandas, data visualization, sql, numpy, presentation",intermediate,specialized,data
CV_0018,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- stakeholder management
- communication
- budgeting
- project management
- planning
- agile
- problem solving
- teamwork
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","stakeholder management, communication, budgeting, project management, planning, agile, problem solving, teamwork",junior,specialized,management
CV_0019,"CV Profile: intermediate candidate in design. Experience with relevant tools and projects. Skills:
- wireframing
- ui design
- adobe illustrator
- ux research
- typography
- design systems
- figma
- adobe photoshop
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","wireframing, ui design, adobe illustrator, ux research, typography, design systems, figma, adobe photoshop, reporting, presentation",intermediate,specialized,design
CV_0020,"CV Profile: junior candidate in data. Experience with relevant tools and projects. Skills:
- pandas
- machine learning
- numpy
- python
- sql
- power bi
- teamwork
- english
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","pandas, machine learning, numpy, python, sql, power bi, teamwork, english",junior,specialized,data
CV_0021,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- project management
- planning
- communication
- scrum
- leadership
- stakeholder management
- agile
- budgeting
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","project management, planning, communication, scrum, leadership, stakeholder management, agile, budgeting, presentation",intermediate,specialized,management
CV_0022,"CV Profile: junior candidate in marketing. Experience with relevant tools and projects. Skills:
- social media
- crm
- google analytics
- content marketing
- email marketing
- branding
- problem solving
- communication
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","social media, crm, google analytics, content marketing, email marketing, branding, problem solving, communication",junior,specialized,marketing
CV_0023,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- linux
- pandas
- incident response
- sql
- data visualization
- risk assessment
- numpy
- cryptography
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","linux, pandas, incident response, sql, data visualization, risk assessment, numpy, cryptography, tableau, firewalls, communication, teamwork",intermediate,polyvalent,data
CV_0024,"CV Profile: junior candidate in marketing. Experience with relevant tools and projects. Skills:
- google analytics
- social media
- content marketing
- seo
- branding
- crm
- problem solving
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","google analytics, social media, content marketing, seo, branding, crm, problem solving",junior,specialized,marketing
CV_0025,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- crm
- google analytics
- content marketing
- social media
- business intelligence
- powerpoint
- excel
- financial modeling
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","crm, google analytics, content marketing, social media, business intelligence, powerpoint, excel, financial modeling, seo, branding, presentation, teamwork, problem solving",intermediate,polyvalent,software
CV_0026,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- python
- linux
- git
- java
- testing
- javascript
- docker
- cloud
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","python, linux, git, java, testing, javascript, docker, cloud, communication",intermediate,specialized,software
CV_0027,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- ui design
- wireframing
- ux research
- adobe illustrator
- typography
- adobe photoshop
- communication
- presentation
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","ui design, wireframing, ux research, adobe illustrator, typography, adobe photoshop, communication, presentation",junior,specialized,design
CV_0028,"CV Profile: junior candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- leadership
- budgeting
- tableau
- numpy
- social media
- crm
- communication
- etl
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","leadership, budgeting, tableau, numpy, social media, crm, communication, etl, reporting, teamwork, problem solving",junior,polyvalent,cybersecurity
CV_0029,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- power bi
- statistics
- numpy
- tableau
- python
- machine learning
- pandas
- data visualization
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","power bi, statistics, numpy, tableau, python, machine learning, pandas, data visualization, presentation",intermediate,specialized,data
CV_0030,"CV Profile: intermediate candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- network security
- typography
- adobe photoshop
- ui design
- powerpoint
- wireframing
- siem
- business intelligence
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","network security, typography, adobe photoshop, ui design, powerpoint, wireframing, siem, business intelligence, design systems, ux research, teamwork, english, problem solving",intermediate,polyvalent,cybersecurity
CV_0031,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- javascript
- planning
- agile
- rest api
- project management
- communication
- python
- testing
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","javascript, planning, agile, rest api, project management, communication, python, testing, teamwork, problem solving",junior,polyvalent,finance
CV_0032,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- python
- git
- linux
- docker
- cloud
- testing
- microservices
- javascript
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","python, git, linux, docker, cloud, testing, microservices, javascript, presentation",intermediate,specialized,software
CV_0033,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- ux research
- adobe illustrator
- wireframing
- figma
- adobe photoshop
- ui design
- teamwork
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","ux research, adobe illustrator, wireframing, figma, adobe photoshop, ui design, teamwork",junior,specialized,design
CV_0034,"CV Profile: senior candidate in management. Experience with relevant tools and projects. Skills:
- project management
- communication
- agile
- leadership
- stakeholder management
- budgeting
- planning
- scrum
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","project management, communication, agile, leadership, stakeholder management, budgeting, planning, scrum, reporting, presentation",senior,specialized,management
CV_0035,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- accounting
- powerpoint
- risk analysis
- sql
- business intelligence
- excel
- financial modeling
- forecasting
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","accounting, powerpoint, risk analysis, sql, business intelligence, excel, financial modeling, forecasting, problem solving",intermediate,specialized,finance
CV_0036,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- forecasting
- accounting
- sql
- business intelligence
- excel
- risk analysis
- teamwork
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","forecasting, accounting, sql, business intelligence, excel, risk analysis, teamwork",junior,specialized,finance
CV_0037,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- business intelligence
- stakeholder management
- planning
- agile
- budgeting
- excel
- scrum
- leadership
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","business intelligence, stakeholder management, planning, agile, budgeting, excel, scrum, leadership, accounting, project management, english, communication, problem solving",intermediate,polyvalent,finance
CV_0038,"CV Profile: intermediate candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- communication
- adobe photoshop
- leadership
- project management
- agile
- budgeting
- ux research
- design systems
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","communication, adobe photoshop, leadership, project management, agile, budgeting, ux research, design systems, adobe illustrator, google analytics, presentation, teamwork, english",intermediate,polyvalent,cybersecurity
CV_0039,"CV Profile: senior candidate in software. Experience with relevant tools and projects. Skills:
- microservices
- python
- java
- rest api
- git
- linux
- cloud
- testing
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","microservices, python, java, rest api, git, linux, cloud, testing, javascript, docker, problem solving, teamwork",senior,specialized,software
CV_0040,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- cryptography
- risk assessment
- firewalls
- network security
- excel
- leadership
- accounting
- financial modeling
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","cryptography, risk assessment, firewalls, network security, excel, leadership, accounting, financial modeling, communication, teamwork",junior,polyvalent,finance
CV_0041,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- git
- javascript
- linux
- rest api
- python
- docker
- java
- cloud
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","git, javascript, linux, rest api, python, docker, java, cloud, problem solving, teamwork",intermediate,specialized,software
CV_0042,"CV Profile: intermediate candidate in marketing. Experience with relevant tools and projects. Skills:
- stakeholder management
- linux
- budgeting
- communication
- docker
- java
- rest api
- agile
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","stakeholder management, linux, budgeting, communication, docker, java, rest api, agile, testing, project management, reporting, teamwork",intermediate,polyvalent,marketing
CV_0043,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- tableau
- sql
- python
- machine learning
- pandas
- statistics
- data visualization
- etl
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","tableau, sql, python, machine learning, pandas, statistics, data visualization, etl, communication, english",intermediate,specialized,data
CV_0044,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- planning
- leadership
- stakeholder management
- agile
- budgeting
- project management
- reporting
- presentation
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","planning, leadership, stakeholder management, agile, budgeting, project management, reporting, presentation",junior,specialized,management
CV_0045,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- communication
- scrum
- agile
- project management
- budgeting
- planning
- english
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","communication, scrum, agile, project management, budgeting, planning, english",junior,specialized,management
CV_0046,"CV Profile: intermediate candidate in marketing. Experience with relevant tools and projects. Skills:
- seo
- social media
- google analytics
- content marketing
- email marketing
- branding
- copywriting
- crm
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","seo, social media, google analytics, content marketing, email marketing, branding, copywriting, crm, problem solving, reporting",intermediate,specialized,marketing
CV_0047,"CV Profile: senior candidate in design. Experience with relevant tools and projects. Skills:
- typography
- figma
- ui design
- design systems
- adobe photoshop
- ux research
- wireframing
- adobe illustrator
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","typography, figma, ui design, design systems, adobe photoshop, ux research, wireframing, adobe illustrator, english, communication",senior,specialized,design
CV_0048,"CV Profile: junior candidate in data. Experience with relevant tools and projects. Skills:
- statistics
- pandas
- numpy
- tableau
- power bi
- etl
- english
- reporting
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","statistics, pandas, numpy, tableau, power bi, etl, english, reporting",junior,specialized,data
CV_0049,"CV Profile: junior candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- penetration testing
- siem
- linux
- network security
- cryptography
- incident response
- presentation
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","penetration testing, siem, linux, network security, cryptography, incident response, presentation",junior,specialized,cybersecurity
CV_0050,"CV Profile: senior candidate in marketing. Experience with relevant tools and projects. Skills:
- microservices
- docker
- cloud
- typography
- ui design
- adobe illustrator
- javascript
- testing
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","microservices, docker, cloud, typography, ui design, adobe illustrator, javascript, testing, design systems, git, rest api, figma, problem solving, communication",senior,polyvalent,marketing
CV_0051,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- design systems
- forecasting
- figma
- risk analysis
- wireframing
- powerpoint
- ui design
- accounting
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","design systems, forecasting, figma, risk analysis, wireframing, powerpoint, ui design, accounting, sql, typography, problem solving, english",intermediate,polyvalent,data
CV_0052,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- sql
- python
- machine learning
- tableau
- pandas
- etl
- power bi
- statistics
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","sql, python, machine learning, tableau, pandas, etl, power bi, statistics, reporting",intermediate,specialized,data
CV_0053,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- stakeholder management
- budgeting
- communication
- leadership
- planning
- agile
- reporting
- english
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","stakeholder management, budgeting, communication, leadership, planning, agile, reporting, english",junior,specialized,management
CV_0054,"CV Profile: intermediate candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- linux
- firewalls
- risk assessment
- cryptography
- siem
- incident response
- network security
- penetration testing
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","linux, firewalls, risk assessment, cryptography, siem, incident response, network security, penetration testing, teamwork",intermediate,specialized,cybersecurity
CV_0055,"CV Profile: junior candidate in marketing. Experience with relevant tools and projects. Skills:
- branding
- crm
- copywriting
- social media
- google analytics
- seo
- problem solving
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","branding, crm, copywriting, social media, google analytics, seo, problem solving",junior,specialized,marketing
CV_0056,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- docker
- wireframing
- ui design
- typography
- java
- design systems
- adobe photoshop
- adobe illustrator
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","docker, wireframing, ui design, typography, java, design systems, adobe photoshop, adobe illustrator, teamwork, communication, reporting",junior,polyvalent,design
CV_0057,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- cloud
- docker
- linux
- python
- git
- javascript
- rest api
- java
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","cloud, docker, linux, python, git, javascript, rest api, java, english, communication",intermediate,specialized,software
CV_0058,"CV Profile: junior candidate in marketing. Experience with relevant tools and projects. Skills:
- crm
- copywriting
- google analytics
- seo
- email marketing
- social media
- presentation
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","crm, copywriting, google analytics, seo, email marketing, social media, presentation",junior,specialized,marketing
CV_0059,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- scrum
- stakeholder management
- communication
- budgeting
- leadership
- project management
- presentation
- english
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","scrum, stakeholder management, communication, budgeting, leadership, project management, presentation, english",junior,specialized,management
CV_0060,"CV Profile: junior candidate in data. Experience with relevant tools and projects. Skills:
- numpy
- sql
- machine learning
- etl
- statistics
- tableau
- presentation
- english
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","numpy, sql, machine learning, etl, statistics, tableau, presentation, english",junior,specialized,data
CV_0061,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- agile
- scrum
- budgeting
- planning
- project management
- leadership
- stakeholder management
- communication
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","agile, scrum, budgeting, planning, project management, leadership, stakeholder management, communication, teamwork",intermediate,specialized,management
CV_0062,"CV Profile: junior candidate in marketing. Experience with relevant tools and projects. Skills:
- agile
- python
- etl
- testing
- rest api
- stakeholder management
- planning
- machine learning
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","agile, python, etl, testing, rest api, stakeholder management, planning, machine learning, presentation, teamwork",junior,polyvalent,marketing
CV_0063,"CV Profile: intermediate candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- linux
- risk assessment
- network security
- incident response
- cryptography
- siem
- penetration testing
- firewalls
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","linux, risk assessment, network security, incident response, cryptography, siem, penetration testing, firewalls, reporting, problem solving",intermediate,specialized,cybersecurity
CV_0064,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- social media
- excel
- sql
- risk analysis
- branding
- google analytics
- email marketing
- financial modeling
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","social media, excel, sql, risk analysis, branding, google analytics, email marketing, financial modeling, forecasting, content marketing, communication, problem solving, reporting",intermediate,polyvalent,finance
CV_0065,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- communication
- stakeholder management
- budgeting
- java
- financial modeling
- business intelligence
- powerpoint
- rest api
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","communication, stakeholder management, budgeting, java, financial modeling, business intelligence, powerpoint, rest api, sql, agile, reporting, english",intermediate,polyvalent,management
CV_0066,"CV Profile: senior candidate in software. Experience with relevant tools and projects. Skills:
- rest api
- linux
- microservices
- git
- cloud
- java
- testing
- python
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","rest api, linux, microservices, git, cloud, java, testing, python, javascript, docker, english",senior,specialized,software
CV_0067,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- machine learning
- data visualization
- tableau
- python
- statistics
- etl
- pandas
- numpy
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","machine learning, data visualization, tableau, python, statistics, etl, pandas, numpy, presentation, communication",intermediate,specialized,data
CV_0068,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- network security
- firewalls
- business intelligence
- excel
- risk analysis
- siem
- linux
- sql
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","network security, firewalls, business intelligence, excel, risk analysis, siem, linux, sql, communication, presentation, english",junior,polyvalent,management
CV_0069,"CV Profile: intermediate candidate in software. Experience with relevant tools and projects. Skills:
- etl
- sql
- risk assessment
- cryptography
- network security
- machine learning
- pandas
- linux
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","etl, sql, risk assessment, cryptography, network security, machine learning, pandas, linux, penetration testing, python, teamwork, communication",intermediate,polyvalent,software
CV_0070,"CV Profile: senior candidate in marketing. Experience with relevant tools and projects. Skills:
- social media
- branding
- copywriting
- content marketing
- crm
- email marketing
- google analytics
- seo
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","social media, branding, copywriting, content marketing, crm, email marketing, google analytics, seo, presentation, communication",senior,specialized,marketing
CV_0071,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- scrum
- project management
- stakeholder management
- leadership
- communication
- planning
- presentation
- problem solving
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","scrum, project management, stakeholder management, leadership, communication, planning, presentation, problem solving",junior,specialized,management
CV_0072,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- sql
- business intelligence
- risk analysis
- excel
- financial modeling
- powerpoint
- accounting
- forecasting
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","sql, business intelligence, risk analysis, excel, financial modeling, powerpoint, accounting, forecasting, communication, english",intermediate,specialized,finance
CV_0073,"CV Profile: junior candidate in cybersecurity. Experience with relevant tools and projects. Skills:
- social media
- seo
- email marketing
- copywriting
- design systems
- adobe photoshop
- google analytics
- ui design
Education: Bachelor's / Master's related to cybersecurity. Soft skills: communication, teamwork.","social media, seo, email marketing, copywriting, design systems, adobe photoshop, google analytics, ui design, reporting, problem solving",junior,polyvalent,cybersecurity
CV_0074,"CV Profile: intermediate candidate in design. Experience with relevant tools and projects. Skills:
- typography
- data visualization
- tableau
- figma
- numpy
- statistics
- etl
- adobe illustrator
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","typography, data visualization, tableau, figma, numpy, statistics, etl, adobe illustrator, ux research, machine learning, presentation, english, teamwork",intermediate,polyvalent,design
CV_0075,"CV Profile: junior candidate in software. Experience with relevant tools and projects. Skills:
- rest api
- testing
- docker
- microservices
- java
- javascript
- problem solving
- presentation
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","rest api, testing, docker, microservices, java, javascript, problem solving, presentation",junior,specialized,software
CV_0076,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- python
- testing
- javascript
- java
- agile
- budgeting
- docker
- planning
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","python, testing, javascript, java, agile, budgeting, docker, planning, english, problem solving",junior,polyvalent,management
CV_0077,"CV Profile: intermediate candidate in design. Experience with relevant tools and projects. Skills:
- wireframing
- design systems
- adobe illustrator
- ux research
- figma
- adobe photoshop
- typography
- ui design
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","wireframing, design systems, adobe illustrator, ux research, figma, adobe photoshop, typography, ui design, reporting",intermediate,specialized,design
CV_0078,"CV Profile: junior candidate in marketing. Experience with relevant tools and projects. Skills:
- content marketing
- crm
- social media
- google analytics
- email marketing
- seo
- communication
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","content marketing, crm, social media, google analytics, email marketing, seo, communication",junior,specialized,marketing
CV_0079,"CV Profile: junior candidate in data. Experience with relevant tools and projects. Skills:
- sql
- statistics
- machine learning
- power bi
- data visualization
- etl
- reporting
- teamwork
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","sql, statistics, machine learning, power bi, data visualization, etl, reporting, teamwork",junior,specialized,data
CV_0080,"CV Profile: intermediate candidate in finance. Experience with relevant tools and projects. Skills:
- scrum
- python
- linux
- agile
- leadership
- cryptography
- power bi
- penetration testing
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","scrum, python, linux, agile, leadership, cryptography, power bi, penetration testing, incident response, machine learning, problem solving, teamwork, communication",intermediate,polyvalent,finance
CV_0081,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- stakeholder management
- planning
- budgeting
- communication
- project management
- leadership
- agile
- scrum
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","stakeholder management, planning, budgeting, communication, project management, leadership, agile, scrum, reporting",intermediate,specialized,management
CV_0082,"CV Profile: junior candidate in software. Experience with relevant tools and projects. Skills:
- linux
- rest api
- google analytics
- testing
- cloud
- java
- seo
- email marketing
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","linux, rest api, google analytics, testing, cloud, java, seo, email marketing, reporting, problem solving",junior,polyvalent,software
CV_0083,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- python
- numpy
- data visualization
- machine learning
- docker
- git
- power bi
- pandas
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","python, numpy, data visualization, machine learning, docker, git, power bi, pandas, reporting, communication, presentation",junior,polyvalent,management
