cv_id,clean_text,level,profile_type,domain,skills_norm_str,community_id
CV_0083,cv profile junior candidate in management experience with relevant tools and projects skills python numpy data visualization machine learning docker git power bi pandas education bachelors masters related to management soft skills communication teamwork,junior,polyvalent,management,"python, numpy, data visualization, machine learning, docker, git, power bi, pandas, reporting, communication, presentation",3
CV_0084,cv profile junior candidate in finance experience with relevant tools and projects skills financial modeling risk analysis forecasting business intelligence excel accounting english communication education bachelors masters related to finance soft skills communication teamwork,junior,specialized,finance,"financial modeling, risk analysis, forecasting, business intelligence, excel, accounting, english, communication",4
CV_0085,cv profile senior candidate in data experience with relevant tools and projects skills tableau ui design statistics financial modeling numpy power bi etl sql education bachelors masters related to data soft skills communication teamwork,senior,polyvalent,data,"tableau, ui design, statistics, financial modeling, numpy, power bi, etl, sql, pandas, risk analysis, accounting, business intelligence, english, reporting, problem solving",3
CV_0086,cv profile intermediate candidate in finance experience with relevant tools and projects skills financial modeling sql powerpoint forecasting business intelligence risk analysis accounting excel education bachelors masters related to finance soft skills communication teamwork,intermediate,specialized,finance,"financial modeling, sql, powerpoint, forecasting, business intelligence, risk analysis, accounting, excel, problem solving, english",4
CV_0087,cv profile junior candidate in finance experience with relevant tools and projects skills sql accounting powerpoint business intelligence forecasting excel communication presentation education bachelors masters related to finance soft skills communication teamwork,junior,specialized,finance,"sql, accounting, powerpoint, business intelligence, forecasting, excel, communication, presentation",4
CV_0088,cv profile junior candidate in management experience with relevant tools and projects skills planning budgeting agile communication project management scrum presentation education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"planning, budgeting, agile, communication, project management, scrum, presentation",6
CV_0089,cv profile junior candidate in finance experience with relevant tools and projects skills agile communication project management figma planning python stakeholder management typography education bachelors masters related to finance soft skills communication teamwork,junior,polyvalent,finance,"agile, communication, project management, figma, planning, python, stakeholder management, typography, presentation, english",6
CV_0090,cv profile intermediate candidate in software experience with relevant tools and projects skills testing rest api java microservices javascript docker linux git education bachelors masters related to software soft skills communication teamwork,intermediate,specialized,software,"testing, rest api, java, microservices, javascript, docker, linux, git, reporting",1
CV_0091,cv profile intermediate candidate in design experience with relevant tools and projects skills ux research design systems adobe illustrator wireframing adobe photoshop ui design figma typography education bachelors masters related to design soft skills communication teamwork,intermediate,specialized,design,"ux research, design systems, adobe illustrator, wireframing, adobe photoshop, ui design, figma, typography, reporting",3
CV_0092,cv profile junior candidate in design experience with relevant tools and projects skills figma design systems adobe illustrator adobe photoshop ui design typography english problem solving education bachelors masters related to design soft skills communication teamwork,junior,specialized,design,"figma, design systems, adobe illustrator, adobe photoshop, ui design, typography, english, problem solving",2
CV_0093,cv profile junior candidate in software experience with relevant tools and projects skills microservices statistics docker java numpy data visualization testing pandas education bachelors masters related to software soft skills communication teamwork,junior,polyvalent,software,"microservices, statistics, docker, java, numpy, data visualization, testing, pandas, english, problem solving, teamwork",1
CV_0094,cv profile intermediate candidate in management experience with relevant tools and projects skills agile scrum planning communication stakeholder management budgeting leadership project management education bachelors masters related to management soft skills communication teamwork,intermediate,specialized,management,"agile, scrum, planning, communication, stakeholder management, budgeting, leadership, project management, english",6
CV_0095,cv profile junior candidate in marketing experience with relevant tools and projects skills social media email marketing content marketing google analytics copywriting crm communication education bachelors masters related to marketing soft skills communication teamwork,junior,specialized,marketing,"social media, email marketing, content marketing, google analytics, copywriting, crm, communication",0
CV_0096,cv profile intermediate candidate in finance experience with relevant tools and projects skills sql forecasting powerpoint financial modeling accounting excel business intelligence risk analysis education bachelors masters related to finance soft skills communication teamwork,intermediate,specialized,finance,"sql, forecasting, powerpoint, financial modeling, accounting, excel, business intelligence, risk analysis, communication, english",4
CV_0097,cv profile senior candidate in data experience with relevant tools and projects skills tableau data visualization power bi machine learning python statistics numpy sql education bachelors masters related to data soft skills communication teamwork,senior,specialized,data,"tableau, data visualization, power bi, machine learning, python, statistics, numpy, sql, pandas, etl, communication, english",3
CV_0098,cv profile junior candidate in management experience with relevant tools and projects skills budgeting communication project management stakeholder management scrum leadership teamwork problem solving education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"budgeting, communication, project management, stakeholder management, scrum, leadership, teamwork, problem solving",6
CV_0099,cv profile junior candidate in management experience with relevant tools and projects skills agile communication budgeting leadership scrum planning teamwork education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"agile, communication, budgeting, leadership, scrum, planning, teamwork",6
CV_0100,cv profile junior candidate in data experience with relevant tools and projects skills tableau machine learning sql etl numpy statistics reporting presentation education bachelors masters related to data soft skills communication teamwork,junior,specialized,data,"tableau, machine learning, sql, etl, numpy, statistics, reporting, presentation",3
CV_0101,cv profile intermediate candidate in finance experience with relevant tools and projects skills scrum ui design cryptography stakeholder management ux research siem agile firewalls education bachelors masters related to finance soft skills communication teamwork,intermediate,polyvalent,finance,"scrum, ui design, cryptography, stakeholder management, ux research, siem, agile, firewalls, adobe illustrator, risk assessment, problem solving, english",5
CV_0102,cv profile junior candidate in finance experience with relevant tools and projects skills forecasting excel powerpoint sql risk analysis financial modeling english education bachelors masters related to finance soft skills communication teamwork,junior,specialized,finance,"forecasting, excel, powerpoint, sql, risk analysis, financial modeling, english",4
CV_0103,cv profile intermediate candidate in management experience with relevant tools and projects skills leadership communication agile project management stakeholder management budgeting planning scrum education bachelors masters related to management soft skills communication teamwork,intermediate,specialized,management,"leadership, communication, agile, project management, stakeholder management, budgeting, planning, scrum",6
CV_0104,cv profile intermediate candidate in software experience with relevant tools and projects skills stakeholder management agile risk assessment linux cryptography scrum penetration testing firewalls education bachelors masters related to software soft skills communication teamwork,intermediate,polyvalent,software,"stakeholder management, agile, risk assessment, linux, cryptography, scrum, penetration testing, firewalls, communication, planning, reporting, english",6
